model	objective	gene	status	value
./iJR904.xml	obj	G_b0918	optimal	9.406232615756334e-17
./iJR904.xml	obj	G_b0928	optimal	7.838527179796948e-16
./iJR904.xml	obj	G_b0931	optimal	0.9219480950504636
./iJR904.xml	obj	G_b0945	optimal	-1.1129160513202884e-14
./iJR904.xml	obj	G_b0954	optimal	7.371506094430431e-16
./iJR904.xml	obj	G_b0963	optimal	0.9219480950505229
./iJR904.xml	obj	G_b0972	optimal	0.921948095050467
./iJR904.xml	obj	G_b0973	optimal	0.921948095050455
./iJR904.xml	obj	G_b0974	optimal	0.9219480950504682
./iJR904.xml	obj	G_b0996	optimal	0.9219480950504678
./iJR904.xml	obj	G_b0997	optimal	0.9219480950504778
./iJR904.xml	obj	G_b1002	optimal	0.9219480950504604
./iJR904.xml	obj	G_b1006	optimal	0.9219480950504414
./iJR904.xml	obj	G_b1014	optimal	0.9219480950504673
./iJR904.xml	obj	G_b1015	optimal	0.9219480950504687
./iJR904.xml	obj	G_b1033	optimal	0.9219480950504737
./iJR904.xml	obj	G_b1054	optimal	5.764862206945684e-17
./iJR904.xml	obj	G_b1062	optimal	-1.2047028243453574e-15
./iJR904.xml	obj	G_b1091	optimal	0.9205805116533564
./iJR904.xml	obj	G_b1092	optimal	-9.959145983119104e-15
./iJR904.xml	obj	G_b1093	optimal	-1.736982589771687e-15
./iJR904.xml	obj	G_b1095	optimal	-8.540439823656689e-16
./iJR904.xml	obj	G_b1096	optimal	1.130957756740222e-16
./iJR904.xml	obj	G_b1098	optimal	3.4589173241674103e-16
./iJR904.xml	obj	G_b1101	optimal	0.9219480950504685
./iJR904.xml	obj	G_b1109	optimal	0.9219480950504609
./iJR904.xml	obj	G_b1123	optimal	0.9219480950504686
./iJR904.xml	obj	G_b1124	optimal	0.921948095050456
./iJR904.xml	obj	G_b1125	optimal	0.9219480950504658
./iJR904.xml	obj	G_b1126	optimal	0.9219480950504658
./iJR904.xml	obj	G_b1131	optimal	-2.014407007129563e-14
./iJR904.xml	obj	G_b1136	optimal	1.5677054359593892e-15
./iJR904.xml	obj	G_b1186	optimal	0.9219480950504619
./iJR904.xml	obj	G_b1189	optimal	0.9219480950504648
./iJR904.xml	obj	G_b1190	optimal	0.921948095050469
./iJR904.xml	obj	G_b1197	optimal	0.921948095050455
./iJR904.xml	obj	G_b1198	optimal	0.9219480950504755
./iJR904.xml	obj	G_b1199	optimal	0.9219480950504675
./iJR904.xml	obj	G_b1200	optimal	0.9219480950504683
./iJR904.xml	obj	G_b1207	optimal	1.430102849272809e-12
./iJR904.xml	obj	G_b1208	optimal	0.9219480950504729
./iJR904.xml	obj	G_b1210	optimal	0.9219480950504687
./iJR904.xml	obj	G_b1215	optimal	3.131807849129975e-15
./iJR904.xml	obj	G_b1216	optimal	0.9219480950504693
./iJR904.xml	obj	G_b1223	optimal	0.9219480950504555
./iJR904.xml	obj	G_b1224	optimal	0.9219480950504612
./iJR904.xml	obj	G_b1225	optimal	0.9219480950504636
./iJR904.xml	obj	G_b1226	optimal	0.9219480950504755
./iJR904.xml	obj	G_b1227	optimal	0.9219480950504688
./iJR904.xml	obj	G_b1232	optimal	0.9217166524181069
./iJR904.xml	obj	G_b1236	optimal	0.9219480950504939
./iJR904.xml	obj	G_b1238	optimal	0.9219480950504595
./iJR904.xml	obj	G_b1241	optimal	0.9219480950504676
./iJR904.xml	obj	G_b1249	optimal	-1.5636554990379663e-15
./iJR904.xml	obj	G_b1260	optimal	-5.15029457630486e-17
./iJR904.xml	obj	G_b1261	optimal	-7.694514352788488e-16
