model	objective	reaction	flux	status	minimum	maximum	fraction_optimum
Human-GEM.xml	obj	MAR00236	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00237	187.35363	optimal	-1000.0	386.936029	1.0
Human-GEM.xml	obj	MAR00238	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00239	187.35363	optimal	0.0	386.536029	1.0
Human-GEM.xml	obj	MAR00240	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00241	187.35363	optimal	-386.936029	1000.0	1.0
Human-GEM.xml	obj	MAR00242	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00243	187.35363	optimal	0.0	386.536029	1.0
Human-GEM.xml	obj	MAR00244	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00245	187.35363	optimal	-1000.0	386.936029	1.0
Human-GEM.xml	obj	MAR00246	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00247	187.35363	optimal	0.0	386.536029	1.0
Human-GEM.xml	obj	MAR00248	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00249	187.35363	optimal	-1000.0	536.336029	1.0
Human-GEM.xml	obj	MAR00250	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00251	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00252	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00253	187.35363	optimal	0.0	386.536029	1.0
Human-GEM.xml	obj	MAR00254	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00255	187.35363	optimal	-386.936029	1000.0	1.0
Human-GEM.xml	obj	MAR00256	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00257	187.35363	optimal	0.0	386.536029	1.0
Human-GEM.xml	obj	MAR00258	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00259	187.35363	optimal	-1000.0	411.536029	1.0
Human-GEM.xml	obj	MAR00260	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00261	187.35363	optimal	0.0	386.536029	1.0
Human-GEM.xml	obj	MAR00262	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00263	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00264	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00265	187.35363	optimal	0.0	386.536029	1.0
Human-GEM.xml	obj	MAR00266	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00267	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00268	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00269	187.35363	optimal	0.0	386.536029	1.0
Human-GEM.xml	obj	MAR00270	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00271	187.35363	optimal	-1000.0	386.936029	1.0
Human-GEM.xml	obj	MAR00272	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00273	187.35363	optimal	0.0	386.536029	1.0
Human-GEM.xml	obj	MAR00274	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00275	187.35363	optimal	-386.936029	1000.0	1.0
Human-GEM.xml	obj	MAR00276	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00277	187.35363	optimal	0.0	386.536029	1.0
Human-GEM.xml	obj	MAR00278	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00279	187.35363	optimal	-1000.0	386.936029	1.0
Human-GEM.xml	obj	MAR00280	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00281	187.35363	optimal	0.0	386.536029	1.0
Human-GEM.xml	obj	MAR00282	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00283	187.35363	optimal	-1000.0	386.936029	1.0
Human-GEM.xml	obj	MAR00284	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00285	187.35363	optimal	0.0	128.845343	1.0
Human-GEM.xml	obj	MAR00286	187.35363	optimal	-1000.0	1000.0	1.0
Human-GEM.xml	obj	MAR00287	187.35363	optimal	0.0	386.536029	1.0
Human-GEM.xml	obj	MAR00288	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00289	187.35363	optimal	-386.936029	1000.0	1.0
Human-GEM.xml	obj	MAR00290	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00291	187.35363	optimal	0.0	386.536029	1.0
Human-GEM.xml	obj	MAR00292	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00293	187.35363	optimal	-1000.0	386.936029	1.0
Human-GEM.xml	obj	MAR00294	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00295	187.35363	optimal	0.0	386.536029	1.0
Human-GEM.xml	obj	MAR00296	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00297	187.35363	optimal	-386.936029	1000.0	1.0
Human-GEM.xml	obj	MAR00298	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00299	187.35363	optimal	0.0	386.536029	1.0
Human-GEM.xml	obj	MAR00300	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00301	187.35363	optimal	-1000.0	386.936029	1.0
Human-GEM.xml	obj	MAR00302	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00303	187.35363	optimal	0.0	386.536029	1.0
Human-GEM.xml	obj	MAR00304	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00305	187.35363	optimal	-1000.0	386.936029	1.0
Human-GEM.xml	obj	MAR00306	187.35363	optimal	0.0	1000.0	1.0
Human-GEM.xml	obj	MAR00307	187.35363	optimal	0.0	386.536029	1.0
